3.45	190.00	67.00	7.40
3.30	118.00	72.00	8.00
2.29	149.00	74.00	12.60
2.62	313.00	62.00	11.50
2.84	299.00	65.00	8.60
2.67	99.00	59.00	13.80
2.00	19.00	61.00	20.10
2.52	256.00	69.00	9.70
2.22	290.00	66.00	9.20
2.41	274.00	68.00	10.90
2.62	65.00	58.00	13.20
2.41	334.00	64.00	11.50
3.24	307.00	66.00	12.00
1.82	78.00	57.00	18.40
3.11	322.00	68.00	11.50
2.22	44.00	62.00	9.70
1.00	8.00	59.00	9.70
2.22	320.00	73.00	16.60
1.59	25.00	61.00	9.70
3.17	92.00	61.00	12.00
2.84	13.00	67.00	12.00
3.56	252.00	81.00	14.90
4.86	223.00	79.00	5.70
3.33	279.00	76.00	7.40
3.07	127.00	82.00	9.70
4.14	291.00	90.00	13.80
3.39	323.00	87.00	11.50
2.84	148.00	82.00	8.00
2.76	191.00	77.00	14.90
3.33	284.00	72.00	20.70
